"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","554902","21/08/2023 - 11:25","RESTINGA","ISRAEL STAROSTA","AÇÕES PREVENTIVAS","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.14878257949438","-51.15022003219895","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","554910","21/08/2023 - 12:02","MENINO DEUS","PERY MACHADO","ATENDIMENTO PRÉ-HOSPITALAR","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.0522918","-51.2267732","",""
"PORTO ALEGRE","554912","21/08/2023 - 12:05","LAMI","ESTRADA DO VAREJÃO","INCÊNDIO","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.219266241827054","-51.09987974166871","MAQUINÁRIO AGRÍCOLA",""
"PORTO ALEGRE","554925","21/08/2023 - 13:02","LAMI","ESTRADA DO VAREJÃO","AÇÕES PREVENTIVAS","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.218784156580647","-51.1008882522583","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","554927","21/08/2023 - 13:17","LAMI","ESTRADA DO VAREJÃO","AÇÕES PREVENTIVAS","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.218042482357486","-51.10211133956909","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","554929","21/08/2023 - 13:27","BELÉM VELHO","ESTRADA AFONSO LOURENÇO MARIANTE","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.111350114507683","-51.156119935522526","VISTORIA",""
"PORTO ALEGRE","554929","21/08/2023 - 13:27","BELÉM VELHO","ESTRADA AFONSO LOURENÇO MARIANTE","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-1078","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.11207402998729","-51.15700006484986","CORTE PARCIAL",""
"PORTO ALEGRE","554962","21/08/2023 - 14:31","BELÉM VELHO","ESTRADA AFONSO LOURENÇO MARIANTE","AÇÕES PREVENTIVAS","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.10941964729591","-51.15431681015965","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","554971","21/08/2023 - 14:44","SANTA TEREZA","FLORIDA","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.077561493666575","-51.23446226119996","VEGETAÇÃO",""
"PORTO ALEGRE","554983","21/08/2023 - 15:17","HUMAITÁ","RUA DONA TEODORA","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.992481925604878","-51.19547367095947","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555001","21/08/2023 - 16:23","APARÍCIO BORGES","MARIA BASTOS","AÇÕES PREVENTIVAS","ABT-1250","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.075621082221716","-51.18116105034985","ACEIRO/QUEIMADA CONTROLADA | INSPEÇÃO/REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","555015","21/08/2023 - 17:04","IPANEMA","LADISLAU NETO","AÇÕES PREVENTIVAS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.143141708420437","-51.22409820556641","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555024","21/08/2023 - 17:30","JARDIM CARVALHO","ANTONIO DE CARVALHO","AÇÕES PREVENTIVAS","ABT-1250","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.05430190395824","-51.14742972474945","INSPEÇÃO/REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","555026","21/08/2023 - 17:38","CAVALHADA","EDUARDO PRADO","AÇÕES PREVENTIVAS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.11994394824654","-51.22414112091065","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555027","21/08/2023 - 17:40","APARÍCIO BORGES","MARIA LUISA PERES","AÇÕES PREVENTIVAS","ABT-1250","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.074776202188005","-51.18214854787734","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555028","21/08/2023 - 17:41","GLÓRIA","INTENDENTE ALFREDO AZEVEDO","AÇÕES PREVENTIVAS","ABT-1250","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.07425627242738","-51.19160095811519","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555029","21/08/2023 - 17:41","MENINO DEUS","RUA COSTA","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.058489962077097","-51.22871160507203","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555030","21/08/2023 - 17:42","MENINO DEUS","RUA COSTA","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.05832281459273","-51.22929096221924","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555034","21/08/2023 - 17:48","PARTENON","TOBIAS BARRETO","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.06233427633147","-51.195602416992195","EXTERMÍNIO | VISTORIA",""
