"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","573253","14/10/2023 - 10:23","VILA IPIRANGA","MALI","INCÊNDIO","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.013164092676817","-51.14882469177247","MEIO DE TRANSPORTE",""
"PORTO ALEGRE","573280","14/10/2023 - 12:12","BELÉM NOVO","OLÁVIO JOSÉ DE SOUZA","OCORRÊNCIA NÃO ATENDIDA","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.21088503817703","-51.17942330908087","",""
"PORTO ALEGRE","573292","14/10/2023 - 13:39","VILA NOVA","CRISTIANO KRAMER","INCÊNDIO","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.117359380325855","-51.205832362174995","EDIFICAÇÃO COMERCIAL",""
"PORTO ALEGRE","573292","14/10/2023 - 13:39","VILA NOVA","CRISTIANO KRAMER","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.117364020544304","-51.205859184265144","LIXO | TERRENO BALDIO",""
"PORTO ALEGRE","573292","14/10/2023 - 13:39","VILA NOVA","CRISTIANO KRAMER","INCÊNDIO","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.11762387064215","-51.206052293399864","EDIFICAÇÃO COMERCIAL",""
"PORTO ALEGRE","573310","14/10/2023 - 14:54","FLORESTA","RUA FELIX DA CUNHA","ATENDIMENTO PRÉ-HOSPITALAR","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.013786358570876","-51.20337582403377","",""
"PORTO ALEGRE","573319","14/10/2023 - 15:30","ARQUIPÉLAGO","DOS PESCADORES","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.994466859290704","-51.26464749872715","INSPEÇÃO/REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","573321","14/10/2023 - 15:34","PARTENON","SARGENTOEXPEDICIONÁRIO GERALDO SANTANA","SALVAMENTO/BUSCA/RESGATE","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.06953964193687","-51.15558385849","DE ANIMAL",""
"PORTO ALEGRE","573348","14/10/2023 - 16:25","PROTÁSIO ALVES","TENENTE ARY TARRAGO","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.03939618051078","-51.13554239273072","VISTORIA",""
"PORTO ALEGRE","573354","14/10/2023 - 17:12","HÍPICA","ZUZU ANGEL","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.159599531785904","-51.187427043914795","EXTERMÍNIO",""
"PORTO ALEGRE","573363","14/10/2023 - 17:54","FARROUPILHA","JOSÉ BONIFÁCIO","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.037733658624436","-51.21266214582902","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","573364","14/10/2023 - 18:01","ILHA DA PINTADA","AV PRESIDENTE VARGAS","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.0184555618192","-51.25844875280575","VISTORIA",""
"PORTO ALEGRE","573403","14/10/2023 - 19:23","ARQUIPÉLAGO","BR 290","SALVAMENTO/BUSCA/RESGATE","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.98822897063712","-51.21288669828245","DESENCARCERAMENTO",""
"PORTO ALEGRE","573403","14/10/2023 - 19:23","ARQUIPÉLAGO","BR 290","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-29.997257974977167","-51.20907781368709","",""
"PORTO ALEGRE","573409","14/10/2023 - 19:34","CRISTAL","R. CURUPAITI","INCÊNDIO","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.091301117221153","-51.240534782409675","EDIFICAÇÃO MULTIFAMILIAR",""
"PORTO ALEGRE","573422","14/10/2023 - 20:48","TERESÓPOLIS","FERNANDO OSÓRIO","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.090484220005344","-51.201589107513435","VISTORIA",""
"PORTO ALEGRE","573428","14/10/2023 - 20:59","MONT SERRAT","ANITA GARIBALDI","SALVAMENTO/BUSCA/RESGATE","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.025203476375722","-51.18171930313111","DE ANIMAL",""
"PORTO ALEGRE","573442","14/10/2023 - 21:15","SANTO ANTÔNIO","DOUTOR MALHEIROS","OCORRÊNCIA NÃO ATENDIDA","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.062213563419814","-51.205161842015166","",""
"PORTO ALEGRE","573446","14/10/2023 - 22:03","MEDIANEIRA","EURICO LARA","SALVAMENTO/BUSCA/RESGATE","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.062213563419814","-51.21459272431598","DESAPARECIMENTO",""
"PORTO ALEGRE","573448","14/10/2023 - 22:31","LAMI","RUA E","OCORRÊNCIA NÃO ATENDIDA","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.24027173849993","-51.081126301088986","",""
"PORTO ALEGRE","573453","14/10/2023 - 23:11","VILA NOVA","CRISTIANO KRAMER","INCÊNDIO","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.117493946572406","-51.2060308456421","EDIFICAÇÃO COMERCIAL",""
"PORTO ALEGRE","573470","15/10/2023 - 01:17","PASSO DAREIA","ASSIS BRASIL","INCÊNDIO","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.0087230270515","-51.17931032965907","CONTAINER",""
"PORTO ALEGRE","573475","15/10/2023 - 02:31","AZENHA","DOUTOR CARLOS BARBOSA","ATENDIMENTO PRÉ-HOSPITALAR","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.06536133660052","-51.21240377426148","OCORRÊNCIA DE VULTO",""
"PORTO ALEGRE","573475","15/10/2023 - 02:31","AZENHA","DOUTOR CARLOS BARBOSA","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.057004196766666","-51.21418474393063","",""
"PORTO ALEGRE","573480","15/10/2023 - 04:29","SÃO JOSÉ","9 DE JUNHO","INCÊNDIO","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.06608558883006","-51.15882396697998","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","573528","15/10/2023 - 10:24","ARQUIPÉLAGO","CAPITÃO COELHO","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.013461379009666","-51.26066207885743","VISTORIA",""
"PORTO ALEGRE","573530","15/10/2023 - 10:27","CHÁCARA DAS PEDRAS","DR.NILO PEÇANHA","INCÊNDIO","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.027860117002785","-51.17136065900879","EDIFICAÇÃO MULTIFAMILIAR",""
"PORTO ALEGRE","573532","15/10/2023 - 10:28","CHÁCARA DAS PEDRAS","DR.NILO PEÇANHA","SALVAMENTO/BUSCA/RESGATE","ABT-1227","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.029346321255183","-51.157171726226814","SUICÍDIO/TENTATIVA",""
"PORTO ALEGRE","573532","15/10/2023 - 10:28","CHÁCARA DAS PEDRAS","DR.NILO PEÇANHA","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.028027317681385","-51.16317988297855","",""
"PORTO ALEGRE","573544","15/10/2023 - 11:08","NAVEGANTES","BAHIA","INCÊNDIO","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.005137024893372","-51.19807004928589","EDIFICAÇÃO COMERCIAL",""
"PORTO ALEGRE","573578","15/10/2023 - 13:08","CHÁCARA DAS PEDRAS","DOUTOR ERNESTO LUDWIG","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.037427157130782","-51.164059651814604","",""
"PORTO ALEGRE","573584","15/10/2023 - 13:50","APARÍCIO BORGES","ARY TARRAGO 164","SALVAMENTO/BUSCA/RESGATE","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.02221217922836","-51.13144506793511","DE ANIMAL",""
"PORTO ALEGRE","573594","15/10/2023 - 14:29","CENTRO","BORGES DE MEDEIROS","SALVAMENTO/BUSCA/RESGATE","ABT-1227","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.03361902920991","-51.228024959564216","SUICÍDIO/TENTATIVA",""
"PORTO ALEGRE","573601","15/10/2023 - 14:52","SARANDI","TOLEDO PIZA","SALVAMENTO/BUSCA/RESGATE","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-29.98406287802419","-51.13346108115479","DE ANIMAL",""
"PORTO ALEGRE","573627","15/10/2023 - 16:07","CENTRO","PRESIDENTE JOÃO GOULART","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.034176325363404","-51.24158598582591","",""
"PORTO ALEGRE","573640","15/10/2023 - 16:34","JARDIM ITU SABARÁ","DO CONTESTADO","SALVAMENTO/BUSCA/RESGATE","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.018877406893452","-51.14432923180105","DE ANIMAL",""
"PORTO ALEGRE","573646","15/10/2023 - 16:55","NONOAI","SANTA FLORA","PRODUTOS PERIGOSOS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.092972022323114","-51.230063438415534","EXPLOSIVO",""
"PORTO ALEGRE","573647","15/10/2023 - 16:56","VILA ASSUNÇÃO","DOUTOR CASTRO DE MENEZES","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.10136325200506","-51.24913930892945","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR | EXPLOSÃO",""
"PORTO ALEGRE","573656","15/10/2023 - 17:21","SANTA TEREZA","SANTA CRUZ","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.065528472200796","-51.22233867645264","CORTE PARCIAL",""
"PORTO ALEGRE","573666","15/10/2023 - 18:16","JARDIM BOTÂNICO","BUENOS AIRES","AÇÕES PREVENTIVAS","ABT-1227","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.053252540136565","-51.19113922119141","INSPEÇÃO/REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","573682","15/10/2023 - 19:11","PRAIA DE BELAS","AV PADRE CACIQUE 1372","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.071582304787768","-51.24023437500001","EXTERMÍNIO",""
"PORTO ALEGRE","573684","15/10/2023 - 19:28","PETRÓPOLIS","SANTOS NETO","AÇÕES PREVENTIVAS","ABT-1227","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.041346589621472","-51.18965864181519","TERRESTRE",""
"PORTO ALEGRE","573689","15/10/2023 - 19:57","PARTENON","DOZE DE OUTUBRO","SALVAMENTO/BUSCA/RESGATE","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.066475568604698","-51.19017362594605","DE ANIMAL",""
"PORTO ALEGRE","573776","16/10/2023 - 07:42","GLÓRIA","CORONEL APARÍCIO BORGES","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.06905682455676","-51.18779478125754","",""
"PORTO ALEGRE","573785","16/10/2023 - 08:28","FARROUPILHA","JOÃO PESSOA","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.043928500719215","-51.214077472686775","TERRESTRE",""
"PORTO ALEGRE","573810","16/10/2023 - 09:38","BOM FIM","VASCO DA GAMA","SALVAMENTO/BUSCA/RESGATE","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.031603448625372","-51.21187806129456","DE ANIMAL",""
