"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","684047","12/09/2024 - 11:54","CIDADE BAIXA","LOUREIRO DA SILVA","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.03495653471336","-51.22218847274781","TERRESTRE",""
"PORTO ALEGRE","684076","12/09/2024 - 13:54","JARDIM LINDÓIA","ASSIS BRASIL","ATENDIMENTO PRÉ-HOSPITALAR","ABT-1227","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.010339828074773","-51.14873886108399","DESENCARCERAMENTO",""
"PORTO ALEGRE","684079","12/09/2024 - 14:09","CENTRO HISTÓRICO","JOÃO PESSOA","SALVAMENTO/BUSCA/RESGATE","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.033953407278076","-51.22293949127198","OCORRÊNCIA DE VULTO",""
"PORTO ALEGRE","684099","12/09/2024 - 15:22","JARDIM ITU SABARÁ","JOSÉ MARCELINO MARTINS","INCÊNDIO","ABT-1227","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.03382337149673","-51.14279508590699","LIXO",""
"PORTO ALEGRE","684152","12/09/2024 - 18:49","SANTO ANTÔNIO","ÁLVARO MOREIRA","SALVAMENTO/BUSCA/RESGATE","APP-9787","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.06270569975172","-51.19768381118775","DE ANIMAL",""
"PORTO ALEGRE","684170","12/09/2024 - 20:18","CENTRO","GENERAL JOÃO MANOEL","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.029244145549143","-51.2341833114624","INSPEÇÃO/REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","684180","12/09/2024 - 21:18","RESTINGA","LUIZ MENEZES","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.14648173681956","-51.12929821014405","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","684191","12/09/2024 - 22:27","RUBEM BERTA","BALTAZAR DE OLIVEIRA GARCIA","INCÊNDIO","ABT-1227","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.013108351390215","-51.12389087677003","EDIFICAÇÃO COMERCIAL | LIXO",""
"PORTO ALEGRE","684199","12/09/2024 - 23:23","RESTINGA","ESTRADA JOÃO ANTONIO DA SILVEIRA","ATENDIMENTO PRÉ-HOSPITALAR","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.14282625545023","-51.12854719161988","",""
"PORTO ALEGRE","684205","13/09/2024 - 00:11","RIO BRANCO","PEDRO WEINGARTNER","INCÊNDIO","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.029457785541645","-51.19937896728516","TRANSFORMADOR/REDE ELÉTRICA",""
"PORTO ALEGRE","684230","13/09/2024 - 08:09","CAMPO NOVO","BECO PALADINO","SALVAMENTO/BUSCA/RESGATE","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.130095958904608","-51.20100975036622","DE ANIMAL",""
"PORTO ALEGRE","684234","13/09/2024 - 08:27","SÃO JOÃO","AV CAIRU","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.00483971361336","-51.19894981384277","EDIFICAÇÃO COMERCIAL",""
"PORTO ALEGRE","684234","13/09/2024 - 08:27","SÃO JOÃO","AV CAIRU","INCÊNDIO","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.00470963964821","-51.198691140376795","EDIFICAÇÃO COMERCIAL",""
"PORTO ALEGRE","684237","13/09/2024 - 08:37","VILA NOVA","AVENIDA JOÃO SALOMONI","INCÊNDIO","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.11559608153428","-51.212291121482856","MEIO DE TRANSPORTE",""
"PORTO ALEGRE","684238","13/09/2024 - 08:41","JARDIM DO SALSO","JOAQUIM PORTO VILLANOVA","AVERIGUAÇÃO/CORTE DE ÁRVORE","APP-9787","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.051042339252515","-51.156206130981445","CORTE PARCIAL",""
"PORTO ALEGRE","684271","13/09/2024 - 11:20","SANTANA","JACINTO GOMES","SALVAMENTO/BUSCA/RESGATE","APP-9787","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.044067810555763","-51.20898127555848","DE ANIMAL",""
"PORTO ALEGRE","684273","13/09/2024 - 11:28","VILA NOVA","RUA ZENOBIA LUCIA DE DEUS","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.12779468051932","-51.20373487472535","VISTORIA",""
"PORTO ALEGRE","684286","13/09/2024 - 12:22","CENTRO","OTÁVIO ROCHA","SALVAMENTO/BUSCA/RESGATE","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.02872862106242","-51.225026714924454","ELEVADORES",""
"PORTO ALEGRE","684326","13/09/2024 - 14:16","LOMBA DO PINHEIRO","QUATRO DE JUNHO","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.10596698688327","-51.130671501159675","VISTORIA",""
"PORTO ALEGRE","684338","13/09/2024 - 15:21","VILA ASSUNÇÃO","DOUTOR POSSIDÔNIO DA CUNHA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.10247243757905","-51.25863969656498","VISTORIA",""
"PORTO ALEGRE","684363","13/09/2024 - 16:32","HÍPICA","JUCA BATISTA","ATENDIMENTO PRÉ-HOSPITALAR","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.154942636011164","-51.19918584823609","DESENCARCERAMENTO",""
"PORTO ALEGRE","684365","13/09/2024 - 16:37","LOMBA DO PINHEIRO","JOÃO DE OLIVEIRA REMIÃO","SALVAMENTO/BUSCA/RESGATE","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.11250559246097","-51.109932661056526","DESENCARCERAMENTO",""
"PORTO ALEGRE","684379","13/09/2024 - 17:18","CENTRO","DOS ANDRADAS","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.03170562189934","-51.234891414642334","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","684382","13/09/2024 - 17:23","VILA IPIRANGA","GUINÉ","AÇÕES PREVENTIVAS","ABT-1227","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.01415814036075","-51.14759087562562","INSPEÇÃO/REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","684423","13/09/2024 - 20:43","JARDIM ITU SABARÁ","COPÉRNICO","AÇÕES PREVENTIVAS","ABT-1227","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.011343194445498","-51.13455533981323","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","684425","13/09/2024 - 20:57","FARROUPILHA","AVENIDA JOSÉ BONIFÁCIO","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.03852312780273","-51.21362686157227","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","684425","13/09/2024 - 20:57","FARROUPILHA","AVENIDA JOSÉ BONIFÁCIO","AÇÕES PREVENTIVAS","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.038411673711813","-51.21347665786744","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","684487","14/09/2024 - 03:51","ESPÍRITO SANTO","AV JUCA BATISTA","ATENDIMENTO PRÉ-HOSPITALAR","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.147873291410047","-51.20399151415618","DESENCARCERAMENTO | OCORRÊNCIA DE VULTO",""
