"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","704284","08/11/2024 - 23:49","CRISTO REDENTOR","ASSIS BRASIL","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.01074860819168","-51.16154909133912","",""
"PORTO ALEGRE","704285","08/11/2024 - 23:51","CENTRO","LOUREIRO DA SILVA","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.03703706294949","-51.241049766540534","",""
"PORTO ALEGRE","704287","09/11/2024 - 00:18","PRAIA DE BELAS","PADRE CACIQUE","AÇÕES PREVENTIVAS","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.065491330980677","-51.23401165008545","FESTAS E EVENTOS",""
"PORTO ALEGRE","704290","09/11/2024 - 01:15","PETRÓPOLIS","PROTASIO ALVES","SALVAMENTO/BUSCA/RESGATE","ATP-646","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.040362102202643","-51.19418621063233","CAPOTAMENTO",""
"PORTO ALEGRE","704307","09/11/2024 - 06:03","PETRÓPOLIS","JAIME TELLES","INCÊNDIO","ABT-563","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.039564561721523","-51.19192475743523","CONTAINER",""
"PORTO ALEGRE","704320","09/11/2024 - 07:42","AZENHA","FLORIANÓPOLIS","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.05956692848405","-51.21090749592867","LIXO",""
"PORTO ALEGRE","704331","09/11/2024 - 08:44","NONOAI","SÃO SEBASTIÃO","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.0910783277407","-51.22375488281251","",""
"PORTO ALEGRE","704342","09/11/2024 - 09:40","CRISTAL","DIÁRIO DE NOTÍCIAS","AÇÕES PREVENTIVAS","ABT-10327","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.091013228780692","-51.248752857672656","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","704343","09/11/2024 - 09:42","PRAIA DE BELAS","PADRE CACIQUE","AÇÕES PREVENTIVAS","ABT-10327","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.080931600152276","-51.24713297527649","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","704356","09/11/2024 - 10:15","PETRÓPOLIS","PROTASIO ALVES","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1365","1º BBM / 2ª CIA / 3º PEL / PARTENON","-30.041123687666367","-51.15768135663761","VISTORIA",""
"PORTO ALEGRE","704362","09/11/2024 - 10:36","LOMBA DO PINHEIRO","FIGUEIRA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1365","1º BBM / 2ª CIA / 3º PEL / PARTENON","-30.098453321063356","-51.13313371661534","VISTORIA",""
"PORTO ALEGRE","704370","09/11/2024 - 10:53","JARDIM LINDÓIA","GUADALUPE","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.000008280452647","-51.15421056747437","VISTORIA",""
