"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","666004","01/07/2024 - 08:44","SARANDI","SALVADOR LEÃO","AÇÕES PREVENTIVAS","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-29.996681896176533","-51.127087917895665","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","666013","01/07/2024 - 09:46","PASSO DAS PEDRAS","MODESTO FRANCO","AÇÕES PREVENTIVAS","ABT-1227","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.014687675713954","-51.12777471542359","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","666018","01/07/2024 - 10:10","VILA ASSUNÇÃO","BURUM","SALVAMENTO/BUSCA/RESGATE","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.0992098185282","-51.26310825347901","DE ANIMAL",""
"PORTO ALEGRE","666042","01/07/2024 - 11:35","INDEPENDÊNCIA","INDEPENDÊNCIA","SALVAMENTO/BUSCA/RESGATE","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.02769291962031","-51.21199607849122","REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","666049","01/07/2024 - 12:02","INDEPENDÊNCIA","INDEPENDÊNCIA","ATENDIMENTO PRÉ-HOSPITALAR","APP-9787","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.027339942665392","-51.21188879013062","",""
"PORTO ALEGRE","666054","01/07/2024 - 12:30","AZENHA","DA AZENHA","OCORRÊNCIA NÃO ATENDIDA","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.04779195422791","-51.21364831924439","",""
"PORTO ALEGRE","666071","01/07/2024 - 13:28","RESTINGA","ALAMEDA DOS SARGENTOS","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.14852280962166","-51.11193318140914","VEGETAÇÃO",""
"PORTO ALEGRE","666088","01/07/2024 - 14:30","PETRÓPOLIS","RUA FELIZARDO FURTADO","AÇÕES PREVENTIVAS","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.049482167753396","-51.18367195129395","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","666108","01/07/2024 - 15:22","NONOAI","MATHILDE ZATAR","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.08851621919124","-51.213498089101265","OCORRÊNCIA DE VULTO",""
"PORTO ALEGRE","666109","01/07/2024 - 15:24","CAVALHADA","EDUARDO PRADO","SALVAMENTO/BUSCA/RESGATE","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.132081696330534","-51.218047142028816","DE ANIMAL",""
"PORTO ALEGRE","666113","01/07/2024 - 15:30","GLÓRIA","AV. APARÍCIO BORGES","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.06896397479054","-51.188349723815925","VISTORIA",""
"PORTO ALEGRE","666117","01/07/2024 - 15:45","PETRÓPOLIS","FELIPE DE OLIVEIRA","SALVAMENTO/BUSCA/RESGATE","APP-9787","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.04240536705959","-51.20034456253052","CAPOTAMENTO",""
"PORTO ALEGRE","666121","01/07/2024 - 16:02","RIO BRANCO","PROFESSOR JUVENAL MÜLER","SALVAMENTO/BUSCA/RESGATE","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.038077310686905","-51.19978666305543","DE ANIMAL",""
"PORTO ALEGRE","666129","01/07/2024 - 16:21","CRISTAL","DOUTOR CAMPOS VELHO","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.094531567274434","-51.22682155525583","OCORRÊNCIA DE VULTO",""
"PORTO ALEGRE","666134","01/07/2024 - 16:37","FLORESTA","RAMIRO BARCELOS","PRODUTOS PERIGOSOS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.021450615427764","-51.213047504425056","EXPLOSIVO",""
"PORTO ALEGRE","666142","01/07/2024 - 17:14","PETRÓPOLIS","PROTASIO ALVES","PRODUTOS PERIGOSOS","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.04010204728888","-51.16223573684693","EXPLOSIVO",""
"PORTO ALEGRE","666149","01/07/2024 - 17:53","RIO BRANCO","FELIPE CAMARÃO","INCÊNDIO","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.032773790729543","-51.209818124771125","TRANSFORMADOR/REDE ELÉTRICA",""
"PORTO ALEGRE","666171","01/07/2024 - 19:16","SÃO JOSÉ","SAUL CONSTANTINO","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.07635454365329","-51.16451025009156","EXTERMÍNIO",""
"PORTO ALEGRE","666174","01/07/2024 - 19:34","LOMBA DO PINHEIRO","ANA TERRA","INCÊNDIO","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.11890456101939","-51.10354900360108","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","666174","01/07/2024 - 19:34","LOMBA DO PINHEIRO","ANA TERRA","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.117883723631273","-51.10344169936155","EDIFICAÇÃO MULTIFAMILIAR",""
"PORTO ALEGRE","666174","01/07/2024 - 19:34","LOMBA DO PINHEIRO","ANA TERRA","INCÊNDIO","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.118941682180147","-51.1035704612732","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","666174","01/07/2024 - 19:34","LOMBA DO PINHEIRO","ANA TERRA","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.11870967707978","-51.103495354463604","OCORRÊNCIA DE VULTO",""
"PORTO ALEGRE","666180","01/07/2024 - 20:13","VILA ASSUNÇÃO","BURUM","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.099246947089078","-51.26308679580689","VISTORIA",""
"PORTO ALEGRE","666181","01/07/2024 - 20:16","AUXILIADORA","CARLOS GOMES","SALVAMENTO/BUSCA/RESGATE","APP-9787","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.023401377708684","-51.183886528015144","ELEVADORES",""
"PORTO ALEGRE","666184","01/07/2024 - 20:19","CIDADE BAIXA","LOUREIRO DA SILVA","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.035829618845828","-51.22459173202515","CONTAINER",""
"PORTO ALEGRE","666192","01/07/2024 - 21:02","MENINO DEUS","MARCÍLIO DIAS","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.050039374681635","-51.21821880340577","CONTAINER",""
"PORTO ALEGRE","666199","01/07/2024 - 21:43","SANTA TEREZA","DONA ZAIDA","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.07531469798833","-51.23100757598878","TRANSFORMADOR/REDE ELÉTRICA",""
"PORTO ALEGRE","666202","01/07/2024 - 22:03","SANTANA","AUGUSTO PESTANA","INCÊNDIO","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.039024669660392","-51.208820343017585","TRANSFORMADOR/REDE ELÉTRICA",""
"PORTO ALEGRE","666203","01/07/2024 - 22:12","MENINO DEUS","MUCIO TEIXEIRA","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.04840489213643","-51.22394800186158","LIXO",""
"PORTO ALEGRE","666213","01/07/2024 - 23:02","CASCATA","CLAUDIONOR MORAIS","INCÊNDIO","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.088311983212158","-51.1824917793274","TERRENO BALDIO",""
"PORTO ALEGRE","666216","01/07/2024 - 23:53","SÃO SEBASTIÃO","ASSIS BRASIL","INCÊNDIO","ABT-1227","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.010302666162435","-51.154875755310066","EDIFICAÇÃO MULTIFAMILIAR",""
"PORTO ALEGRE","666221","02/07/2024 - 00:47","NAVEGANTES","VOLUNTÁRIOS DA PATRIA","INCÊNDIO","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.983709749990954","-51.20128870010377","LIXO",""
"PORTO ALEGRE","666222","02/07/2024 - 01:02","BELÉM NOVO","JUCA BATISTA","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.166742151698056","-51.1833723735583","EDIFICAÇÃO MULTIFAMILIAR",""
"PORTO ALEGRE","666222","02/07/2024 - 01:02","BELÉM NOVO","JUCA BATISTA","INCÊNDIO","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.185681502505314","-51.17455244064332","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR | OCORRÊNCIA DE VULTO",""
